2026-02-13 15:05:22,433 - URL: https://www.facebook.com/ | Response Time: 1.57 seconds | Status: DOWN (HTTP 400) | Open ports: [80, 443] | Error: None
2026-02-13 15:05:27,656 - URL: https://www.youtube.com/ | Response Time: 0.97 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:05:27,767 - URL: https://dattebae.com/ | Response Time: None seconds | Status: DOWN | Open ports: None | Error: An error occurred: HTTPSConnectionPool(host='dattebae.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("HTTPSConnection(host='dattebae.com', port=443): Failed to resolve 'dattebae.com' ([Errno 11001] getaddrinfo failed)"))
2026-02-13 15:05:33,084 - URL: https://www.wikipedia.org/ | Response Time: 0.98 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:05:38,554 - URL: https://play.google.com/store/apps/ | Response Time: 1.2 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:05:43,936 - URL: https://commons.wikimedia.org/wiki/Main_Page | Response Time: 1.01 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:23:35,167 - URL: https://www.facebook.com/ | Response Time: 0.9 seconds | Status: DOWN (HTTP 400) | Open ports: [80, 443] | Error: None
2026-02-13 15:23:40,408 - URL: https://www.youtube.com/ | Response Time: 0.94 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:23:40,500 - URL: https://dattebae.com/ | Response Time: None seconds | Status: DOWN | Open ports: None | Error: An error occurred: HTTPSConnectionPool(host='dattebae.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("HTTPSConnection(host='dattebae.com', port=443): Failed to resolve 'dattebae.com' ([Errno 11001] getaddrinfo failed)"))
2026-02-13 15:23:45,781 - URL: https://www.wikipedia.org/ | Response Time: 0.99 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:23:51,289 - URL: https://play.google.com/store/apps/ | Response Time: 1.25 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:23:56,675 - URL: https://commons.wikimedia.org/wiki/Main_Page | Response Time: 1.08 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:24:03,414 - URL: https://www.britannica.com/topic/wiki | Response Time: 2.57 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:24:33,924 - URL: https://www.facebook.com/ | Response Time: 1.0 seconds | Status: DOWN (HTTP 400) | Open ports: [80, 443] | Error: None
2026-02-13 15:24:39,242 - URL: https://www.youtube.com/ | Response Time: 1.07 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:24:39,336 - URL: https://dattebae.com/ | Response Time: None seconds | Status: DOWN | Open ports: None | Error: An error occurred: HTTPSConnectionPool(host='dattebae.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("HTTPSConnection(host='dattebae.com', port=443): Failed to resolve 'dattebae.com' ([Errno 11001] getaddrinfo failed)"))
2026-02-13 15:24:44,545 - URL: https://www.wikipedia.org/ | Response Time: 0.9 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:24:50,088 - URL: https://play.google.com/store/apps/ | Response Time: 1.31 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:24:55,422 - URL: https://commons.wikimedia.org/wiki/Main_Page | Response Time: 1.0 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:25:00,765 - URL: https://www.britannica.com/topic/wiki | Response Time: 1.21 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:25:10,991 - URL: https://www.facebook.com/ | Response Time: 0.95 seconds | Status: DOWN (HTTP 400) | Open ports: [80, 443] | Error: None
2026-02-13 15:49:17,550 - URL: https://www.facebook.com/ | Response Time: 1.76 seconds | Status: (HTTP 400) | Open ports: [80, 443] | Error: None
2026-02-13 15:49:24,213 - URL: https://www.youtube.com/ | Response Time: 1.59 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:49:29,534 - URL: https://www.wikipedia.org/ | Response Time: 1.0 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:49:36,099 - URL: https://play.google.com/store/apps/ | Response Time: 1.47 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:49:41,341 - URL: https://www.facebook.com/ | Response Time: 0.89 seconds | Status: (HTTP 400) | Open ports: [80, 443] | Error: None
2026-02-13 15:49:47,308 - URL: https://www.youtube.com/ | Response Time: 1.02 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 15:49:47,416 - URL: https://dattebae.com/ | Response Time: None seconds | Status: DOWN | Open ports: None | Error: An error occurred: HTTPSConnectionPool(host='dattebae.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("HTTPSConnection(host='dattebae.com', port=443): Failed to resolve 'dattebae.com' ([Errno 11001] getaddrinfo failed)"))
2026-02-13 15:49:53,509 - URL: https://www.wikipedia.org/ | Response Time: 0.94 seconds | Status: UP | Open ports: [443] | Error: None
2026-02-13 16:05:53,122 - URL: https://www.facebook.com/ | Response Time: 0.91 seconds | Status: (HTTP 400) | Open ports: [80, 443] | Error: None
2026-02-13 16:05:57,422 - URL: https://www.youtube.com/ | Response Time: 1.02 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 16:06:01,769 - URL: https://www.wikipedia.org/ | Response Time: 1.02 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 16:06:06,214 - URL: https://play.google.com/store/apps/ | Response Time: 1.19 seconds | Status: UP | Open ports: [80, 443] | Error: None
2026-02-13 16:06:10,278 - URL: https://www.facebook.com/ | Response Time: 0.85 seconds | Status: (HTTP 400) | Open ports: [80, 443] | Error: None
2026-02-13 16:06:14,339 - URL: https://www.youtube.com/ | Response Time: 0.91 seconds | Status: UP | Open ports: [80, 443] | Error: None
